sudo alp ltsv --file=/var/log/nginx/access.log  -m /new_items/d+.json,/items/d+.json,/users/d+.json,/upload/w+.jpg,/transactions/d+.png --sort=sum
+-------+-----+------+-----+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/js/main.babc3d4d.chunk.js   | 0.004 | 0.004 |   0.004 | 0.004 | 0.004 | 0.004 | 0.004 |  0.000 |  90365.000 |  90365.000 |    90365.000 |  90365.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /reports.json                       | 0.008 | 0.008 |   0.008 | 0.008 | 0.008 | 0.008 | 0.008 |  0.000 | 171223.000 | 171223.000 |   171223.000 | 171223.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/css/main.19393e92.chunk.css | 0.044 | 0.044 |   0.044 | 0.044 | 0.044 | 0.044 | 0.044 |  0.000 |    994.000 |    994.000 |      994.000 |    994.000 |
|    10 |   0 |    3 |   0 |   7 |   0 | POST   | /items/edit                         | 0.000 | 0.028 |   0.076 | 0.008 | 0.028 | 0.004 | 0.000 |  0.008 |     57.000 |     92.000 |      672.000 |     67.200 |
|    59 |   0 |   45 |   0 |  14 |   0 | GET    | /transactions/\d+.png               | 0.000 | 0.048 |   0.212 | 0.004 | 0.004 | 0.004 | 0.004 |  0.007 |     32.000 |    623.000 |    28089.000 |    476.085 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/js/runtime~main.a8a9905a.js | 0.232 | 0.232 |   0.232 | 0.232 | 0.232 | 0.232 | 0.232 |  0.000 |   1502.000 |   1502.000 |     1502.000 |   1502.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/js/2.ff6e1067.chunk.js      | 0.324 | 0.324 |   0.324 | 0.324 | 0.324 | 0.324 | 0.324 |  0.000 | 508459.000 | 508459.000 |   508459.000 | 508459.000 |
|    13 |   0 |   13 |   0 |   0 |   0 | POST   | /bump                               | 0.004 | 0.248 |   0.400 | 0.031 | 0.024 | 0.008 | 0.020 |  0.064 |     88.000 |     91.000 |     1166.000 |     89.692 |
|    58 |   0 |   58 |   0 |   0 |   0 | GET    | /upload/\w+.jpg                     | 0.004 | 0.028 |   0.658 | 0.011 | 0.012 | 0.020 | 0.008 |  0.006 |  52934.000 | 141220.000 |  4448789.000 |  76703.259 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /initialize                         | 3.674 | 3.674 |   3.674 | 3.674 | 3.674 | 3.674 | 3.674 |  0.000 |     32.000 |     32.000 |       32.000 |     32.000 |
|    74 |   0 |   53 |   0 |  21 |   0 | POST   | /sell                               | 0.048 | 0.496 |   3.944 | 0.053 | 0.052 | 0.000 | 0.048 |  0.115 |     12.000 |    105.000 |     2302.000 |     31.108 |
|    54 |   0 |   54 |   0 |   0 |   0 | GET    | /settings                           | 0.000 | 0.452 |   6.712 | 0.124 | 0.140 | 0.308 | 0.000 |  0.121 |   3085.000 |   3099.000 |   166994.000 |   3092.481 |
|   176 |   0 |  176 |   0 |   0 |   0 | GET    | /new_items.json                     | 0.008 | 1.232 |   8.136 | 0.046 | 0.120 | 0.016 | 0.008 |  0.102 |  22912.000 |  23710.000 |  4112328.000 |  23365.500 |
|    62 |   0 |   54 |   0 |   8 |   0 | POST   | /login                              | 0.044 | 0.444 |   8.644 | 0.139 | 0.060 | 0.244 | 0.044 |  0.107 |     72.000 |    265.000 |    14534.000 |    234.419 |
|   319 |   0 |  319 |   0 |   0 |   0 | GET    | /users/\d+.json                     | 0.008 | 0.812 |  10.420 | 0.033 | 0.468 | 0.024 | 0.008 |  0.067 |     94.000 |  23948.000 |  4784085.000 |  14997.132 |
|  1933 |   0 | 1932 |   0 |   1 |   0 | GET    | /new_items/\d+.json                 | 0.000 | 0.588 |  20.708 | 0.011 | 0.012 | 0.008 | 0.004 |  0.022 |      0.000 |  24009.000 | 45314575.000 |  23442.615 |
|  4816 |   0 | 4816 |   0 |   0 |   0 | GET    | /items/\d+.json                     | 0.000 | 0.396 |  21.010 | 0.004 | 0.024 | 0.000 | 0.004 |  0.010 |   1843.000 |   4101.000 | 10393299.000 |   2158.077 |
|    41 |   0 |   40 |   0 |   1 |   0 | POST   | /complete                           | 0.004 | 0.843 |  30.675 | 0.748 | 0.036 | 0.812 | 0.807 |  0.206 |      0.000 |     33.000 |     1320.000 |     32.195 |
|    61 |   0 |   46 |   0 |  15 |   0 | POST   | /ship                               | 0.004 | 0.815 |  35.027 | 0.574 | 0.004 | 0.804 | 0.815 |  0.362 |      0.000 |     60.000 |     3208.000 |     52.590 |
|    66 |   0 |   45 |   0 |  21 |   0 | POST   | /ship_done                          | 0.803 | 0.852 |  38.862 | 0.589 | 0.048 | 0.803 | 0.812 |  0.358 |     28.000 |     82.000 |     2507.000 |     37.985 |
|    79 |   0 |   48 |   0 |  31 |   0 | POST   | /buy                                | 0.004 | 1.671 |  83.494 | 1.057 | 0.004 | 1.611 | 0.233 |  0.755 |      0.000 |     48.000 |     2655.000 |     33.608 |
|   202 |   0 |  195 |   0 |   7 |   0 | GET    | /users/transactions.json            | 0.008 | 7.236 | 565.186 | 2.798 | 0.040 | 2.419 | 3.180 |  1.543 |      0.000 |  30116.000 |  4072243.000 |  20159.619 |
+-------+-----+------+-----+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+

+-------+-----+------+-----+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/js/main.babc3d4d.chunk.js   | 0.004 | 0.004 |   0.004 | 0.004 | 0.004 | 0.004 | 0.004 |  0.000 |  90365.000 |  90365.000 |    90365.000 |  90365.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /reports.json                       | 0.012 | 0.012 |   0.012 | 0.012 | 0.012 | 0.012 | 0.012 |  0.000 | 273630.000 | 273630.000 |   273630.000 | 273630.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/css/main.19393e92.chunk.css | 0.048 | 0.048 |   0.048 | 0.048 | 0.048 | 0.048 | 0.048 |  0.000 |    994.000 |    994.000 |      994.000 |    994.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/js/runtime~main.a8a9905a.js | 0.052 | 0.052 |   0.052 | 0.052 | 0.052 | 0.052 | 0.052 |  0.000 |   1502.000 |   1502.000 |     1502.000 |   1502.000 |
|    14 |   0 |    7 |   0 |   7 |   0 | POST   | /items/edit                         | 0.004 | 0.048 |   0.176 | 0.013 | 0.024 | 0.004 | 0.004 |  0.013 |     57.000 |     92.000 |     1041.000 |     74.357 |
|    88 |   0 |   74 |   0 |  14 |   0 | GET    | /transactions/\d+.png               | 0.004 | 0.020 |   0.280 | 0.003 | 0.020 | 0.004 | 0.004 |  0.004 |     32.000 |    627.000 |    45932.000 |    521.955 |
|    13 |   0 |   13 |   0 |   0 |   0 | POST   | /bump                               | 0.004 | 0.120 |   0.288 | 0.022 | 0.032 | 0.008 | 0.016 |  0.031 |     89.000 |     90.000 |     1169.000 |     89.923 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/js/2.ff6e1067.chunk.js      | 0.356 | 0.356 |   0.356 | 0.356 | 0.356 | 0.356 | 0.356 |  0.000 | 508459.000 | 508459.000 |   508459.000 | 508459.000 |
|    58 |   0 |   58 |   0 |   0 |   0 | GET    | /upload/*                           | 0.004 | 0.072 |   0.956 | 0.016 | 0.020 | 0.008 | 0.004 |  0.013 |  51716.000 | 153032.000 |  4685691.000 |  80787.776 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /initialize                         | 3.736 | 3.736 |   3.736 | 3.736 | 3.736 | 3.736 | 3.736 |  0.000 |     32.000 |     32.000 |       32.000 |     32.000 |
|   106 |   0 |   85 |   0 |  21 |   0 | POST   | /sell                               | 0.004 | 0.776 |   4.804 | 0.045 | 0.012 | 0.004 | 0.000 |  0.109 |     12.000 |    105.000 |     2686.000 |     25.340 |
|    54 |   0 |   54 |   0 |   0 |   0 | GET    | /settings                           | 0.004 | 0.616 |   6.700 | 0.124 | 0.104 | 0.292 | 0.004 |  0.149 |   3087.000 |   3100.000 |   166994.000 |   3092.481 |
|    62 |   0 |   54 |   0 |   8 |   0 | POST   | /login                              | 0.044 | 0.532 |   9.568 | 0.154 | 0.120 | 0.248 | 0.044 |  0.128 |     72.000 |    266.000 |    14534.000 |    234.419 |
|   326 |   0 |  326 |   0 |   0 |   0 | GET    | /new_items.json                     | 0.008 | 1.240 |  13.976 | 0.043 | 0.688 | 0.012 | 0.024 |  0.083 |  22904.000 |  23808.000 |  7624349.000 |  23387.574 |
|   609 |   0 |  609 |   0 |   0 |   0 | GET    | /users/\d+.json                     | 0.004 | 0.684 |  15.848 | 0.026 | 0.156 | 0.004 | 0.004 |  0.048 |     94.000 |  23950.000 |  7984841.000 |  13111.397 |
|  2149 |   0 | 2149 |   0 |   0 |   0 | GET    | new_items/\d+.json                  | 0.004 | 0.520 |  20.096 | 0.009 | 0.064 | 0.008 | 0.004 |  0.016 |  22574.000 |  24045.000 | 50382827.000 |  23444.778 |
|  6636 |   0 | 6636 |   0 |   0 |   0 | GET    | /items/\d+.json                     | 0.000 | 0.084 |  28.232 | 0.004 | 0.008 | 0.000 | 0.000 |  0.007 |   1840.000 |   4151.000 | 14640216.000 |   2206.181 |
|    74 |   0 |   74 |   0 |   0 |   0 | POST   | /complete                           | 0.004 | 0.848 |  57.536 | 0.778 | 0.004 | 0.804 | 0.808 |  0.158 |     33.000 |     33.000 |     2442.000 |     33.000 |
|    89 |   0 |   74 |   0 |  15 |   0 | POST   | /ship                               | 0.004 | 0.864 |  58.194 | 0.654 | 0.000 | 0.816 | 0.808 |  0.315 |      0.000 |     60.000 |     4888.000 |     54.921 |
|    95 |   0 |   74 |   0 |  21 |   0 | POST   | /ship_done                          | 0.804 | 0.840 |  62.332 | 0.656 | 0.016 | 0.808 | 0.808 |  0.315 |     28.000 |     82.000 |     3464.000 |     36.463 |
|   109 |   0 |   76 |   0 |  33 |   0 | POST   | /buy                                | 0.482 | 1.652 | 131.250 | 1.204 | 0.012 | 1.608 | 0.482 |  0.682 |      0.000 |     48.000 |     3579.000 |     32.835 |
|   551 |   0 |  544 |   0 |   7 |   0 | GET    | /users/transactions.json            | 0.004 | 0.880 | 423.784 | 0.769 | 0.020 | 0.816 | 0.060 |  0.177 |      0.000 |  32476.000 | 12273439.000 |  22274.844 |
+-------+-----+------+-----+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
