isucon@vagrant:~/isucari$ alp ltsv --file="/var/log/nginx/access.log"  -m  '/new_items/*','/items/*','/transactions/*','/upload/*','/users/*' --sort=sum -r 

+-------+-----+------+-----+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
|   236 |   0 |  211 |   0 |  25 |   0 | GET    | /transactions/*                     | 0.004 | 6.528 | 534.595 | 2.265 | 0.004 | 2.464 | 2.964 |  1.812 |      0.000 |  28828.000 |  3707370.000 |  15709.195 |
|  1210 |   0 | 1208 |   0 |   2 |   0 | GET    | /new_items/*                        | 0.002 | 1.368 | 116.050 | 0.096 | 0.308 | 0.088 | 0.044 |  0.084 |      0.000 |  24042.000 | 28352014.000 |  23431.417 |
|    63 |   0 |   35 |   0 |  28 |   0 | POST   | /buy                                | 0.000 | 1.656 |  61.548 | 0.977 | 0.004 | 0.000 | 1.616 |  0.788 |     28.000 |     48.000 |     2226.000 |     35.333 |
|    54 |   0 |   32 |   0 |  22 |   0 | POST   | /ship_done                          | 0.798 | 0.812 |  29.098 | 0.539 | 0.008 | 0.004 | 0.000 |  0.378 |      0.000 |     82.000 |     2078.000 |     38.481 |
|   296 |   0 |  296 |   0 |   0 |   0 | GET    | /users/*                            | 0.008 | 0.764 |  27.452 | 0.093 | 0.500 | 0.024 | 0.040 |  0.094 |     93.000 |  23914.000 |  4225579.000 |  14275.605 |
|    48 |   0 |   34 |   0 |  14 |   0 | POST   | /ship                               | 0.004 | 0.840 |  25.324 | 0.528 | 0.004 | 0.004 | 0.820 |  0.386 |     28.000 |     60.000 |     2488.000 |     51.833 |
|    28 |   0 |   28 |   0 |   0 |   0 | POST   | /complete                           | 0.004 | 0.864 |  20.296 | 0.725 | 0.012 | 0.804 | 0.808 |  0.249 |     33.000 |     33.000 |      924.000 |     33.000 |
|  3020 |   0 | 3020 |   0 |   0 |   0 | GET    | /items/*                            | 0.004 | 0.380 |  12.932 | 0.004 | 0.004 | 0.000 | 0.000 |  0.010 |   1843.000 |   4051.000 |  6585908.000 |   2180.764 |
|    62 |   0 |   54 |   0 |   8 |   0 | POST   | /login                              | 0.044 | 0.592 |   9.240 | 0.149 | 0.052 | 0.116 | 0.052 |  0.125 |     72.000 |    268.000 |    14562.000 |    234.871 |
|    54 |   0 |   54 |   0 |   0 |   0 | GET    | /settings                           | 0.004 | 0.352 |   5.820 | 0.108 | 0.284 | 0.172 | 0.004 |  0.104 |   3086.000 |   3102.000 |   167022.000 |   3093.000 |
|    61 |   0 |   40 |   0 |  21 |   0 | POST   | /sell                               | 0.004 | 0.740 |   5.016 | 0.082 | 0.020 | 0.020 | 0.012 |  0.182 |     12.000 |    105.000 |     2146.000 |     35.180 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /initialize                         | 3.392 | 3.392 |   3.392 | 3.392 | 3.392 | 3.392 | 3.392 |  0.000 |     32.000 |     32.000 |       32.000 |     32.000 |
|    58 |   0 |   58 |   0 |   0 |   0 | GET    | /upload/*                           | 0.004 | 0.056 |   0.864 | 0.015 | 0.008 | 0.016 | 0.012 |  0.011 |  51696.000 | 151879.000 |  4748429.000 |  81869.466 |
|    13 |   0 |   13 |   0 |   0 |   0 | POST   | /bump                               | 0.004 | 0.504 |   0.572 | 0.044 | 0.008 | 0.004 | 0.004 |  0.133 |     89.000 |     90.000 |     1167.000 |     89.769 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/js/main.babc3d4d.chunk.js   | 0.236 | 0.236 |   0.236 | 0.236 | 0.236 | 0.236 | 0.236 |  0.000 |  90365.000 |  90365.000 |    90365.000 |  90365.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/js/2.ff6e1067.chunk.js      | 0.144 | 0.144 |   0.144 | 0.144 | 0.144 | 0.144 | 0.144 |  0.000 | 508459.000 | 508459.000 |   508459.000 | 508459.000 |
|    10 |   0 |    3 |   0 |   7 |   0 | POST   | /items/*                            | 0.004 | 0.016 |   0.048 | 0.005 | 0.004 | 0.000 | 0.004 |  0.005 |     57.000 |     92.000 |      672.000 |     67.200 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/css/main.19393e92.chunk.css | 0.004 | 0.004 |   0.004 | 0.004 | 0.004 | 0.004 | 0.004 |  0.000 |    994.000 |    994.000 |      994.000 |    994.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /static/js/runtime~main.a8a9905a.js | 0.004 | 0.004 |   0.004 | 0.004 | 0.004 | 0.004 | 0.004 |  0.000 |   1502.000 |   1502.000 |     1502.000 |   1502.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /reports.json                       | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 | 122648.000 | 122648.000 |   122648.000 | 122648.000 |
+-------+-----+------+-----+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
